Variable,Min_0,Max_0,Mean_0,Median_0,Min_1,Max_1,Mean_1,Median_1
YOB,1992,2023,2009.95,2011,1999,2023,2011.02,2012
InitialInsp,0,1,0.53,1,0,1,0.48,0
DetInsp,0,1,0.41,0,0,1,0.32,0
FollowUpInsp,0,1,0.02,0,0,1,0.14,0
StandInsp,0,1,0.01,0,0,1,0.07,0
NoInsp,1,38,11.65,10,1,26,9.75,9
NoDef,0,15,3.45,3,1,31,8.82,8.5
ISM,0,3,0.12,0,0,2,0.54,0
MARPOL,0,4,0.25,0,0,3,0.52,0
CertDoc,0,6,0.93,1,0,10,1.80,1
PAMach,0,2,0.05,0,0,2,0.23,0
SafNav,0,4,0.41,0,0,5,1.36,1
RadioCom,0,3,0.14,0,0,3,0.45,0
EmergSyst,0,4,0.13,0,0,3,0.32,0
FireSafety,0,5,0.48,0,0,5,1.11,1
MLC,0,5,0.22,0,0,4,0.66,0
Alarms,0,4,0.03,0,0,5,0.27,0
ISPS,0,1,0.01,0,0,2,0.09,0
OTDef,0,6,0.30,0,0,11,0.63,0
WWTightCond,0,2,0.07,0,0,2,0.18,0
LifeApl,0,4,0.31,0,0,5,0.66,0
GT,2012,80106,5032.78,3888,2012,6776,4100.05,3776.5
